token1,token2,token3,token4,token5,target
Like,you,said,before,.,.
you,said,before,.,.,.
said,before,.,.,.,Well
before,.,.,.,Well,","
.,.,.,Well,",",that
.,.,Well,",",that,particular
.,Well,",",that,particular,emphasis
Well,",",that,particular,emphasis,on
",",that,particular,emphasis,on,the
that,particular,emphasis,on,the,girl
particular,emphasis,on,the,girl,you
emphasis,on,the,girl,you,went
on,the,girl,you,went,with
the,girl,you,went,with,to
girl,you,went,with,to,Punahou
you,went,with,to,Punahou,Carnival
went,with,to,Punahou,Carnival,being
with,to,Punahou,Carnival,being,a
to,Punahou,Carnival,being,a,","
Punahou,Carnival,being,a,",",freshman
Carnival,being,a,",",freshman,.
being,a,",",freshman,.,Because
a,",",freshman,.,Because,she
",",freshman,.,Because,she,is
freshman,.,Because,she,is,a
.,Because,she,is,a,freshman
Because,she,is,a,freshman,maybe
she,is,a,freshman,maybe,?
is,a,freshman,maybe,?,It
a,freshman,maybe,?,It,just
freshman,maybe,?,It,just,happens
maybe,?,It,just,happens,to
?,It,just,happens,to,be
It,just,happens,to,be,.
just,happens,to,be,.,Okay
happens,to,be,.,Okay,.
to,be,.,Okay,.,Do
be,.,Okay,.,Do,you
.,Okay,.,Do,you,think
Okay,.,Do,you,think,Indigo
.,Do,you,think,Indigo,Biggins
Do,you,think,Indigo,Biggins,will
you,think,Indigo,Biggins,will,graduate
think,Indigo,Biggins,will,graduate,from
Indigo,Biggins,will,graduate,from,this
Biggins,will,graduate,from,this,school
will,graduate,from,this,school,?
graduate,from,this,school,?,Yeah
from,this,school,?,Yeah,","
this,school,?,Yeah,",",why
school,?,Yeah,",",why,not
?,Yeah,",",why,not,?
Yeah,",",why,not,?,Because
",",why,not,?,Because,I
why,not,?,Because,I,don’t
not,?,Because,I,don’t,know—just
?,Because,I,don’t,know—just,for
Because,I,don’t,know—just,for,the
I,don’t,know—just,for,the,sake
don’t,know—just,for,the,sake,of
know—just,for,the,sake,of,making
for,the,sake,of,making,this
the,sake,of,making,this,conversation
sake,of,making,this,conversation,sample
of,making,this,conversation,sample,longer
making,this,conversation,sample,longer,.
this,conversation,sample,longer,.,Sure
conversation,sample,longer,.,Sure,.
sample,longer,.,Sure,.,What
longer,.,Sure,.,What,do
.,Sure,.,What,do,you
Sure,.,What,do,you,think
.,What,do,you,think,of
What,do,you,think,of,alcohol
do,you,think,of,alcohol,and
you,think,of,alcohol,and,weed
think,of,alcohol,and,weed,?
of,alcohol,and,weed,?,Just
alcohol,and,weed,?,Just,curious
and,weed,?,Just,curious,.
weed,?,Just,curious,.,Which
?,Just,curious,.,Which,one
Just,curious,.,Which,one,is
curious,.,Which,one,is,worse
.,Which,one,is,worse,?
Which,one,is,worse,?,Obviously
one,is,worse,?,Obviously,weed
is,worse,?,Obviously,weed,is
worse,?,Obviously,weed,is,worse
?,Obviously,weed,is,worse,","
Obviously,weed,is,worse,",",because
weed,is,worse,",",because,first
is,worse,",",because,first,","
worse,",",because,first,",",it
",",because,first,",",it,smells
because,first,",",it,smells,horrendous
first,",",it,smells,horrendous,","
",",it,smells,horrendous,",",and
it,smells,horrendous,",",and,second—
smells,horrendous,",",and,second—,Not
horrendous,",",and,second—,Not,really
",",and,second—,Not,really,.
and,second—,Not,really,.,It
second—,Not,really,.,It,smells
Not,really,.,It,smells,good
really,.,It,smells,good,.
.,It,smells,good,.,People
It,smells,good,.,People,have
smells,good,.,People,have,different
good,.,People,have,different,opinions
.,People,have,different,opinions,on
People,have,different,opinions,on,this
have,different,opinions,on,this,.
different,opinions,on,this,.,Well
opinions,on,this,.,Well,","
on,this,.,Well,",",if
this,.,Well,",",if,you
.,Well,",",if,you,were
Well,",",if,you,were,asking
",",if,you,were,asking,me
if,you,were,asking,me,","
you,were,asking,me,",",it
were,asking,me,",",it,is
asking,me,",",it,is,terrible
me,",",it,is,terrible,.
",",it,is,terrible,.,And
it,is,terrible,.,And,of
is,terrible,.,And,of,course
terrible,.,And,of,course,","
.,And,of,course,",",someone
And,of,course,",",someone,else
of,course,",",someone,else,may
course,",",someone,else,may,say
",",someone,else,may,say,something
someone,else,may,say,something,different
else,may,say,something,different,.
may,say,something,different,.,I
say,something,different,.,I,also
something,different,.,I,also,think
different,.,I,also,think,it
.,I,also,think,it,brings
I,also,think,it,brings,lots
also,think,it,brings,lots,of
think,it,brings,lots,of,people
it,brings,lots,of,people,to
brings,lots,of,people,to,greater
lots,of,people,to,greater,misery
of,people,to,greater,misery,and
people,to,greater,misery,and,hopelessness
to,greater,misery,and,hopelessness,than
greater,misery,and,hopelessness,than,if
misery,and,hopelessness,than,if,they
and,hopelessness,than,if,they,hadn’t
hopelessness,than,if,they,hadn’t,touched
than,if,they,hadn’t,touched,weed
if,they,hadn’t,touched,weed,.
they,hadn’t,touched,weed,.,Nah
hadn’t,touched,weed,.,Nah,.
touched,weed,.,Nah,.,People
weed,.,Nah,.,People,made
.,Nah,.,People,made,their
Nah,.,People,made,their,decisions
.,People,made,their,decisions,","
People,made,their,decisions,",",and
made,their,decisions,",",and,people
their,decisions,",",and,people,are
decisions,",",and,people,are,happy
",",and,people,are,happy,.
and,people,are,happy,.,As
people,are,happy,.,As,long
are,happy,.,As,long,as
happy,.,As,long,as,we
.,As,long,as,we,are
As,long,as,we,are,happy
long,as,we,are,happy,","
as,we,are,happy,",",that
we,are,happy,",",that,is
are,happy,",",that,is,all
happy,",",that,is,all,that
",",that,is,all,that,matters
that,is,all,that,matters,.
is,all,that,matters,.,Well
all,that,matters,.,Well,","
that,matters,.,Well,",",good
matters,.,Well,",",good,for
.,Well,",",good,for,them
Well,",",good,for,them,","
",",good,for,them,",",I
good,for,them,",",I,guess
for,them,",",I,guess,.
them,",",I,guess,.,I
",",I,guess,.,I,just
I,guess,.,I,just,don’t
guess,.,I,just,don’t,think
.,I,just,don’t,think,they
I,just,don’t,think,they,really
just,don’t,think,they,really,have
don’t,think,they,really,have,a
think,they,really,have,a,choice
they,really,have,a,choice,once
really,have,a,choice,once,they’re
have,a,choice,once,they’re,in
a,choice,once,they’re,in,the
choice,once,they’re,in,the,cycle
once,they’re,in,the,cycle,of
they’re,in,the,cycle,of,addiction
in,the,cycle,of,addiction,.
the,cycle,of,addiction,.,Well
cycle,of,addiction,.,Well,","
of,addiction,.,Well,",",I
addiction,.,Well,",",I,don’t
.,Well,",",I,don’t,know—maybe
Well,",",I,don’t,know—maybe,.
",",I,don’t,know—maybe,.,How
I,don’t,know—maybe,.,How,is
don’t,know—maybe,.,How,is,life
know—maybe,.,How,is,life,?
.,How,is,life,?,Life
How,is,life,?,Life,is
is,life,?,Life,is,been
life,?,Life,is,been,okay
?,Life,is,been,okay,.
Life,is,been,okay,.,I’ve
is,been,okay,.,I’ve,been
been,okay,.,I’ve,been,stressing
okay,.,I’ve,been,stressing,way
.,I’ve,been,stressing,way,too
I’ve,been,stressing,way,too,hard
been,stressing,way,too,hard,on
stressing,way,too,hard,on,AP
way,too,hard,on,AP,Chem
too,hard,on,AP,Chem,.
hard,on,AP,Chem,.,Well
on,AP,Chem,.,Well,","
AP,Chem,.,Well,",",I
Chem,.,Well,",",I,never
.,Well,",",I,never,stress
Well,",",I,never,stress,about
",",I,never,stress,about,academics
I,never,stress,about,academics,.
never,stress,about,academics,.,I
stress,about,academics,.,I,guess
about,academics,.,I,guess,I
academics,.,I,guess,I,am
.,I,guess,I,am,too
I,guess,I,am,too,smart
guess,I,am,too,smart,","
I,am,too,smart,",",too
am,too,smart,",",too,intelligent
too,smart,",",too,intelligent,.
smart,",",too,intelligent,.,That
",",too,intelligent,.,That,is
too,intelligent,.,That,is,cool
intelligent,.,That,is,cool,.
.,That,is,cool,.,What
That,is,cool,.,What,is
is,cool,.,What,is,your
cool,.,What,is,your,favorite
.,What,is,your,favorite,quote
What,is,your,favorite,quote,or
is,your,favorite,quote,or,sentence
your,favorite,quote,or,sentence,?
favorite,quote,or,sentence,?,My
quote,or,sentence,?,My,favorite
or,sentence,?,My,favorite,quote
sentence,?,My,favorite,quote,?
?,My,favorite,quote,?,Like
My,favorite,quote,?,Like,a
favorite,quote,?,Like,a,philosophical
quote,?,Like,a,philosophical,sentence
?,Like,a,philosophical,sentence,or
Like,a,philosophical,sentence,or,something
a,philosophical,sentence,or,something,like
philosophical,sentence,or,something,like,that
sentence,or,something,like,that,.
or,something,like,that,.,Um
something,like,that,.,Um,.
like,that,.,Um,.,.
that,.,Um,.,.,.
.,Um,.,.,.,that
Um,.,.,.,that,is
.,.,.,that,is,a
.,.,that,is,a,hard
.,that,is,a,hard,question
that,is,a,hard,question,.
is,a,hard,question,.,Mine
a,hard,question,.,Mine,is
hard,question,.,Mine,is,","
question,.,Mine,is,",",People
.,Mine,is,",",People,change
Mine,is,",",People,change,.
is,",",People,change,.,That
",",People,change,.,That,is
People,change,.,That,is,deep
change,.,That,is,deep,.
.,That,is,deep,.,I
That,is,deep,.,I,like
is,deep,.,I,like,short
deep,.,I,like,short,quotes
.,I,like,short,quotes,.
I,like,short,quotes,.,They
like,short,quotes,.,They,hit
short,quotes,.,They,hit,harder
quotes,.,They,hit,harder,.
.,They,hit,harder,.,Yeah
They,hit,harder,.,Yeah,","
hit,harder,.,Yeah,",",like
harder,.,Yeah,",",like,those
.,Yeah,",",like,those,one-liner
Yeah,",",like,those,one-liner,ones
",",like,those,one-liner,ones,that
like,those,one-liner,ones,that,sound
those,one-liner,ones,that,sound,simple
one-liner,ones,that,sound,simple,but
ones,that,sound,simple,but,mess
that,sound,simple,but,mess,with
sound,simple,but,mess,with,your
simple,but,mess,with,your,brain
but,mess,with,your,brain,the
mess,with,your,brain,the,more
with,your,brain,the,more,you
your,brain,the,more,you,think
brain,the,more,you,think,about
the,more,you,think,about,it
more,you,think,about,it,.
you,think,about,it,.,Exactly
think,about,it,.,Exactly,.
about,it,.,Exactly,.,Like
it,.,Exactly,.,Like,","
.,Exactly,.,Like,",",Know
Exactly,.,Like,",",Know,thyself
.,Like,",",Know,thyself,.
Like,",",Know,thyself,.,What
",",Know,thyself,.,What,does
Know,thyself,.,What,does,that
thyself,.,What,does,that,even
.,What,does,that,even,mean
What,does,that,even,mean,?
does,that,even,mean,?,It
that,even,mean,?,It,is
even,mean,?,It,is,Socrates
mean,?,It,is,Socrates,","
?,It,is,Socrates,",",I
It,is,Socrates,",",I,think
is,Socrates,",",I,think,.
Socrates,",",I,think,.,Or
",",I,think,.,Or,maybe
I,think,.,Or,maybe,Plato
think,.,Or,maybe,Plato,?
.,Or,maybe,Plato,?,Same
Or,maybe,Plato,?,Same,Greek
maybe,Plato,?,Same,Greek,guys
Plato,?,Same,Greek,guys,.
?,Same,Greek,guys,.,They
Same,Greek,guys,.,They,were
Greek,guys,.,They,were,probably
guys,.,They,were,probably,sitting
.,They,were,probably,sitting,around
They,were,probably,sitting,around,just
were,probably,sitting,around,just,thinking
probably,sitting,around,just,thinking,all
sitting,around,just,thinking,all,day
around,just,thinking,all,day,.
just,thinking,all,day,.,Honestly
thinking,all,day,.,Honestly,","
all,day,.,Honestly,",",vibes
day,.,Honestly,",",vibes,.
.,Honestly,",",vibes,.,I
Honestly,",",vibes,.,I,wish
",",vibes,.,I,wish,I
vibes,.,I,wish,I,had
.,I,wish,I,had,that
I,wish,I,had,that,kind
wish,I,had,that,kind,of
I,had,that,kind,of,time
had,that,kind,of,time,.
that,kind,of,time,.,Instead
kind,of,time,.,Instead,we
of,time,.,Instead,we,have
time,.,Instead,we,have,APs
.,Instead,we,have,APs,and
Instead,we,have,APs,and,college
we,have,APs,and,college,apps
have,APs,and,college,apps,and
APs,and,college,apps,and,fairs
and,college,apps,and,fairs,and
college,apps,and,fairs,and,stress
apps,and,fairs,and,stress,.
and,fairs,and,stress,.,It
fairs,and,stress,.,It,never
and,stress,.,It,never,ends
stress,.,It,never,ends,.
.,It,never,ends,.,Sometimes
It,never,ends,.,Sometimes,I
never,ends,.,Sometimes,I,wonder
ends,.,Sometimes,I,wonder,what
.,Sometimes,I,wonder,what,would
Sometimes,I,wonder,what,would,happen
I,wonder,what,would,happen,if
wonder,what,would,happen,if,I
what,would,happen,if,I,just
would,happen,if,I,just,stopped
happen,if,I,just,stopped,trying
if,I,just,stopped,trying,for
I,just,stopped,trying,for,a
just,stopped,trying,for,a,week
stopped,trying,for,a,week,.
trying,for,a,week,.,Probably
for,a,week,.,Probably,spontaneous
a,week,.,Probably,spontaneous,combustion
week,.,Probably,spontaneous,combustion,.
.,Probably,spontaneous,combustion,.,LOL
Probably,spontaneous,combustion,.,LOL,.
spontaneous,combustion,.,LOL,.,Or
combustion,.,LOL,.,Or,maybe
.,LOL,.,Or,maybe,I’d
LOL,.,Or,maybe,I’d,finally
.,Or,maybe,I’d,finally,catch
Or,maybe,I’d,finally,catch,up
maybe,I’d,finally,catch,up,on
I’d,finally,catch,up,on,sleep
finally,catch,up,on,sleep,.
catch,up,on,sleep,.,Do
up,on,sleep,.,Do,you
on,sleep,.,Do,you,even
sleep,.,Do,you,even,sleep
.,Do,you,even,sleep,these
Do,you,even,sleep,these,days
you,even,sleep,these,days,?
even,sleep,these,days,?,Barely
sleep,these,days,?,Barely,.
these,days,?,Barely,.,Like
days,?,Barely,.,Like,4-5
?,Barely,.,Like,4-5,hours
Barely,.,Like,4-5,hours,.
.,Like,4-5,hours,.,That
Like,4-5,hours,.,That,is
4-5,hours,.,That,is,terrible
hours,.,That,is,terrible,.
.,That,is,terrible,.,You
That,is,terrible,.,You,need
is,terrible,.,You,need,like
terrible,.,You,need,like,8
.,You,need,like,8,minimum
You,need,like,8,minimum,.
need,like,8,minimum,.,You
like,8,minimum,.,You,sound
8,minimum,.,You,sound,like
minimum,.,You,sound,like,my
.,You,sound,like,my,mom
You,sound,like,my,mom,.
sound,like,my,mom,.,She
like,my,mom,.,She,is
my,mom,.,She,is,right
mom,.,She,is,right,though
.,She,is,right,though,.
She,is,right,though,.,Gotta
is,right,though,.,Gotta,protect
right,though,.,Gotta,protect,the
though,.,Gotta,protect,the,brain
.,Gotta,protect,the,brain,cells
Gotta,protect,the,brain,cells,.
protect,the,brain,cells,.,I
the,brain,cells,.,I,think
brain,cells,.,I,think,I
cells,.,I,think,I,already
.,I,think,I,already,lost
I,think,I,already,lost,most
think,I,already,lost,most,of
I,already,lost,most,of,them
already,lost,most,of,them,in
lost,most,of,them,in,the
most,of,them,in,the,third
of,them,in,the,third,quarter
them,in,the,third,quarter,.
in,the,third,quarter,.,Third
the,third,quarter,.,Third,quarter
third,quarter,.,Third,quarter,was
quarter,.,Third,quarter,was,brutal
.,Third,quarter,was,brutal,.
Third,quarter,was,brutal,.,It
quarter,was,brutal,.,It,really
was,brutal,.,It,really,was
brutal,.,It,really,was,.
.,It,really,was,.,I
It,really,was,.,I,don't
really,was,.,I,don't,know
was,.,I,don't,know,what
.,I,don't,know,what,happened
I,don't,know,what,happened,.
don't,know,what,happened,.,I
know,what,happened,.,I,think
what,happened,.,I,think,the
happened,.,I,think,the,motivation
.,I,think,the,motivation,just
I,think,the,motivation,just,dropped
think,the,motivation,just,dropped,.
the,motivation,just,dropped,.,Same
motivation,just,dropped,.,Same,.
just,dropped,.,Same,.,Like
dropped,.,Same,.,Like,","
.,Same,.,Like,",",I
Same,.,Like,",",I,knew
.,Like,",",I,knew,I
Like,",",I,knew,I,had
",",I,knew,I,had,to
I,knew,I,had,to,work
knew,I,had,to,work,but
I,had,to,work,but,couldn’t
had,to,work,but,couldn’t,get
to,work,but,couldn’t,get,myself
work,but,couldn’t,get,myself,to
but,couldn’t,get,myself,to,start
couldn’t,get,myself,to,start,.
get,myself,to,start,.,And
myself,to,start,.,And,once
to,start,.,And,once,you
start,.,And,once,you,fall
.,And,once,you,fall,behind
And,once,you,fall,behind,","
once,you,fall,behind,",",it
you,fall,behind,",",it,is
fall,behind,",",it,is,so
behind,",",it,is,so,hard
",",it,is,so,hard,to
it,is,so,hard,to,catch
is,so,hard,to,catch,up
so,hard,to,catch,up,.
hard,to,catch,up,.,Yeah
to,catch,up,.,Yeah,","
catch,up,.,Yeah,",",like
up,.,Yeah,",",like,digging
.,Yeah,",",like,digging,out
Yeah,",",like,digging,out,of
",",like,digging,out,of,a
like,digging,out,of,a,hole
digging,out,of,a,hole,with
out,of,a,hole,with,a
of,a,hole,with,a,spoon
a,hole,with,a,spoon,.
hole,with,a,spoon,.,That
with,a,spoon,.,That,is
a,spoon,.,That,is,a
spoon,.,That,is,a,sad
.,That,is,a,sad,metaphor
That,is,a,sad,metaphor,.
is,a,sad,metaphor,.,But
a,sad,metaphor,.,But,accurate
sad,metaphor,.,But,accurate,.
metaphor,.,But,accurate,.,So
.,But,accurate,.,So,are
But,accurate,.,So,are,you
accurate,.,So,are,you,going
.,So,are,you,going,to
So,are,you,going,to,try
are,you,going,to,try,to
you,going,to,try,to,fix
going,to,try,to,fix,it
to,try,to,fix,it,in
try,to,fix,it,in,the
to,fix,it,in,the,fourth
fix,it,in,the,fourth,quarter
it,in,the,fourth,quarter,?
in,the,fourth,quarter,?,I’m
the,fourth,quarter,?,I’m,trying
fourth,quarter,?,I’m,trying,.
quarter,?,I’m,trying,.,I
?,I’m,trying,.,I,made
I’m,trying,.,I,made,a
trying,.,I,made,a,to-do
.,I,made,a,to-do,list
I,made,a,to-do,list,.
made,a,to-do,list,.,Nice
a,to-do,list,.,Nice,.
to-do,list,.,Nice,.,I
list,.,Nice,.,I,tried
.,Nice,.,I,tried,that
Nice,.,I,tried,that,too
.,I,tried,that,too,but
I,tried,that,too,but,I
tried,that,too,but,I,ended
that,too,but,I,ended,up
too,but,I,ended,up,just
but,I,ended,up,just,decorating
I,ended,up,just,decorating,it
ended,up,just,decorating,it,.
up,just,decorating,it,.,Mood
just,decorating,it,.,Mood,.
decorating,it,.,Mood,.,I
it,.,Mood,.,I,spent
.,Mood,.,I,spent,20
Mood,.,I,spent,20,minutes
.,I,spent,20,minutes,choosing
I,spent,20,minutes,choosing,a
spent,20,minutes,choosing,a,font
20,minutes,choosing,a,font,.
minutes,choosing,a,font,.,Productivity
choosing,a,font,.,Productivity,through
a,font,.,Productivity,through,aesthetic
font,.,Productivity,through,aesthetic,.
.,Productivity,through,aesthetic,.,That
Productivity,through,aesthetic,.,That,should
through,aesthetic,.,That,should,be
aesthetic,.,That,should,be,a
.,That,should,be,a,class
That,should,be,a,class,.
should,be,a,class,.,Honestly
be,a,class,.,Honestly,","
a,class,.,Honestly,",",I’d
class,.,Honestly,",",I’d,take
.,Honestly,",",I’d,take,it
Honestly,",",I’d,take,it,over
",",I’d,take,it,over,AP
I’d,take,it,over,AP,Chem
take,it,over,AP,Chem,.
it,over,AP,Chem,.,Same
over,AP,Chem,.,Same,.
AP,Chem,.,Same,.,Why
Chem,.,Same,.,Why,is
.,Same,.,Why,is,AP
Same,.,Why,is,AP,Chem
.,Why,is,AP,Chem,so
Why,is,AP,Chem,so,much
is,AP,Chem,so,much,pain
AP,Chem,so,much,pain,?
Chem,so,much,pain,?,Because
so,much,pain,?,Because,it
much,pain,?,Because,it,is
pain,?,Because,it,is,not
?,Because,it,is,not,just
Because,it,is,not,just,memorization
it,is,not,just,memorization,.
is,not,just,memorization,.,It
not,just,memorization,.,It,is
just,memorization,.,It,is,like
memorization,.,It,is,like,","
.,It,is,like,",",logic
It,is,like,",",logic,puzzles
is,like,",",logic,puzzles,with
like,",",logic,puzzles,with,math
",",logic,puzzles,with,math,and
logic,puzzles,with,math,and,science
puzzles,with,math,and,science,and
with,math,and,science,and,sadness
math,and,science,and,sadness,.
and,science,and,sadness,.,And
science,and,sadness,.,And,labs
and,sadness,.,And,labs,that
sadness,.,And,labs,that,never
.,And,labs,that,never,work
And,labs,that,never,work,.
labs,that,never,work,.,Our
that,never,work,.,Our,last
never,work,.,Our,last,titration
work,.,Our,last,titration,lab
.,Our,last,titration,lab,was
Our,last,titration,lab,was,a
last,titration,lab,was,a,disaster
titration,lab,was,a,disaster,.
lab,was,a,disaster,.,Same
was,a,disaster,.,Same,.
a,disaster,.,Same,.,Ours
disaster,.,Same,.,Ours,turned
.,Same,.,Ours,turned,pink
Same,.,Ours,turned,pink,and
.,Ours,turned,pink,and,then
Ours,turned,pink,and,then,purple
turned,pink,and,then,purple,and
pink,and,then,purple,and,then
and,then,purple,and,then,back
then,purple,and,then,back,to
purple,and,then,back,to,clear
and,then,back,to,clear,.
then,back,to,clear,.,That
back,to,clear,.,That,is
to,clear,.,That,is,not
clear,.,That,is,not,supposed
.,That,is,not,supposed,to
That,is,not,supposed,to,happen
is,not,supposed,to,happen,","
not,supposed,to,happen,",",right
supposed,to,happen,",",right,?
to,happen,",",right,?,Nope
happen,",",right,?,Nope,.
",",right,?,Nope,.,But
right,?,Nope,.,But,the
?,Nope,.,But,the,teacher
Nope,.,But,the,teacher,said
.,But,the,teacher,said,","
But,the,teacher,said,",",good
the,teacher,said,",",good,effort
teacher,said,",",good,effort,.
said,",",good,effort,.,At
",",good,effort,.,At,least
good,effort,.,At,least,you
effort,.,At,least,you,got
.,At,least,you,got,that
At,least,you,got,that,.
least,you,got,that,.,We
you,got,that,.,We,got
got,that,.,We,got,a
that,.,We,got,a,","
.,We,got,a,",",re-do
We,got,a,",",re-do,this
got,a,",",re-do,this,.
a,",",re-do,this,.,Rough
",",re-do,this,.,Rough,.
re-do,this,.,Rough,.,Everything
this,.,Rough,.,Everything,is
.,Rough,.,Everything,is,rough
Rough,.,Everything,is,rough,these
.,Everything,is,rough,these,days
Everything,is,rough,these,days,.
is,rough,these,days,.,At
rough,these,days,.,At,least
these,days,.,At,least,there
days,.,At,least,there,is
.,At,least,there,is,summer
At,least,there,is,summer,coming
least,there,is,summer,coming,up
there,is,summer,coming,up,.
is,summer,coming,up,.,True
summer,coming,up,.,True,.
coming,up,.,True,.,Just
up,.,True,.,Just,gotta
.,True,.,Just,gotta,make
True,.,Just,gotta,make,it
.,Just,gotta,make,it,a
Just,gotta,make,it,a,few
gotta,make,it,a,few,more
make,it,a,few,more,weeks
it,a,few,more,weeks,.
a,few,more,weeks,.,Then
few,more,weeks,.,Then,freedom
more,weeks,.,Then,freedom,.
weeks,.,Then,freedom,.,Or
.,Then,freedom,.,Or,more
Then,freedom,.,Or,more,stress
freedom,.,Or,more,stress,","
.,Or,more,stress,",",depending
Or,more,stress,",",depending,on
more,stress,",",depending,on,what
stress,",",depending,on,what,you
",",depending,on,what,you,signed
depending,on,what,you,signed,up
on,what,you,signed,up,for
what,you,signed,up,for,.
you,signed,up,for,.,Fair
signed,up,for,.,Fair,.
up,for,.,Fair,.,But
for,.,Fair,.,But,at
.,Fair,.,But,at,least
Fair,.,But,at,least,it
.,But,at,least,it,is
But,at,least,it,is,a
at,least,it,is,a,different
least,it,is,a,different,kind
it,is,a,different,kind,of
is,a,different,kind,of,stress
a,different,kind,of,stress,.
different,kind,of,stress,.,Like
kind,of,stress,.,Like,choosing
of,stress,.,Like,choosing,where
stress,.,Like,choosing,where,to
.,Like,choosing,where,to,eat
Like,choosing,where,to,eat,instead
choosing,where,to,eat,instead,of
where,to,eat,instead,of,writing
to,eat,instead,of,writing,DBQs
eat,instead,of,writing,DBQs,.
instead,of,writing,DBQs,.,Exactly
of,writing,DBQs,.,Exactly,.
writing,DBQs,.,Exactly,.,I’d
DBQs,.,Exactly,.,I’d,rather
.,Exactly,.,I’d,rather,stress
Exactly,.,I’d,rather,stress,over
.,I’d,rather,stress,over,dinner
I’d,rather,stress,over,dinner,than
rather,stress,over,dinner,than,over
stress,over,dinner,than,over,derivatives
over,dinner,than,over,derivatives,.
dinner,than,over,derivatives,.,Do
than,over,derivatives,.,Do,you
over,derivatives,.,Do,you,know
derivatives,.,Do,you,know,where
.,Do,you,know,where,you’re
Do,you,know,where,you’re,going
you,know,where,you’re,going,for
know,where,you’re,going,for,your
where,you’re,going,for,your,East
you’re,going,for,your,East,Coast
going,for,your,East,Coast,trip
for,your,East,Coast,trip,yet
your,East,Coast,trip,yet,?
East,Coast,trip,yet,?,Not
Coast,trip,yet,?,Not,fully
trip,yet,?,Not,fully,.
yet,?,Not,fully,.,Probably
?,Not,fully,.,Probably,New
Not,fully,.,Probably,New,York
fully,.,Probably,New,York,","
.,Probably,New,York,",",maybe
Probably,New,York,",",maybe,Boston
New,York,",",maybe,Boston,.
York,",",maybe,Boston,.,Ooh
",",maybe,Boston,.,Ooh,","
maybe,Boston,.,Ooh,",",both
Boston,.,Ooh,",",both,good
.,Ooh,",",both,good,cities
Ooh,",",both,good,cities,.
",",both,good,cities,.,I’ve
both,good,cities,.,I’ve,never
good,cities,.,I’ve,never,been
cities,.,I’ve,never,been,to
.,I’ve,never,been,to,either
I’ve,never,been,to,either,","
never,been,to,either,",",so
been,to,either,",",so,I’m
to,either,",",so,I’m,excited
either,",",so,I’m,excited,.
",",so,I’m,excited,.,You’ll
so,I’m,excited,.,You’ll,love
I’m,excited,.,You’ll,love,New
excited,.,You’ll,love,New,York
.,You’ll,love,New,York,.
You’ll,love,New,York,.,Just
love,New,York,.,Just,wear
New,York,.,Just,wear,comfortable
York,.,Just,wear,comfortable,shoes
.,Just,wear,comfortable,shoes,.
Just,wear,comfortable,shoes,.,Why
wear,comfortable,shoes,.,Why,","
comfortable,shoes,.,Why,",",is
shoes,.,Why,",",is,there
.,Why,",",is,there,a
Why,",",is,there,a,lot
",",is,there,a,lot,of
is,there,a,lot,of,walking
there,a,lot,of,walking,?
a,lot,of,walking,?,It
lot,of,walking,?,It,is
of,walking,?,It,is,basically
walking,?,It,is,basically,a
?,It,is,basically,a,cardio
It,is,basically,a,cardio,workout
is,basically,a,cardio,workout,every
basically,a,cardio,workout,every,day
a,cardio,workout,every,day,.
cardio,workout,every,day,.,Got
workout,every,day,.,Got,it
every,day,.,Got,it,.
day,.,Got,it,.,I’ll
.,Got,it,.,I’ll,pack
Got,it,.,I’ll,pack,sneakers
it,.,I’ll,pack,sneakers,.
.,I’ll,pack,sneakers,.,And
I’ll,pack,sneakers,.,And,maybe
pack,sneakers,.,And,maybe,a
sneakers,.,And,maybe,a,portable
.,And,maybe,a,portable,charger
And,maybe,a,portable,charger,.
maybe,a,portable,charger,.,Your
a,portable,charger,.,Your,phone
portable,charger,.,Your,phone,is
charger,.,Your,phone,is,gonna
.,Your,phone,is,gonna,die
Your,phone,is,gonna,die,from
phone,is,gonna,die,from,taking
is,gonna,die,from,taking,photos
gonna,die,from,taking,photos,.
die,from,taking,photos,.,Good
from,taking,photos,.,Good,tip
taking,photos,.,Good,tip,.
photos,.,Good,tip,.,I’ll
.,Good,tip,.,I’ll,keep
Good,tip,.,I’ll,keep,that
tip,.,I’ll,keep,that,in
.,I’ll,keep,that,in,mind
I’ll,keep,that,in,mind,.
keep,that,in,mind,.,Do
that,in,mind,.,Do,you
in,mind,.,Do,you,like
mind,.,Do,you,like,city
.,Do,you,like,city,trips
Do,you,like,city,trips,more
you,like,city,trips,more,or
like,city,trips,more,or,nature
city,trips,more,or,nature,trips
trips,more,or,nature,trips,?
more,or,nature,trips,?,City
or,nature,trips,?,City,","
nature,trips,?,City,",",definitely
trips,?,City,",",definitely,.
?,City,",",definitely,.,I
City,",",definitely,.,I,need
",",definitely,.,I,need,food
definitely,.,I,need,food,options
.,I,need,food,options,.
I,need,food,options,.,Same
need,food,options,.,Same,.
food,options,.,Same,.,I
options,.,Same,.,I,like
.,Same,.,I,like,forests
Same,.,I,like,forests,for
.,I,like,forests,for,20
I,like,forests,for,20,minutes
like,forests,for,20,minutes,and
forests,for,20,minutes,and,then
for,20,minutes,and,then,I
20,minutes,and,then,I,miss
minutes,and,then,I,miss,sushi
and,then,I,miss,sushi,.
then,I,miss,sushi,.,Exactly
I,miss,sushi,.,Exactly,.
miss,sushi,.,Exactly,.,I
sushi,.,Exactly,.,I,need
